Points_0,Points_1,Points_2,U_0,U_1,U_2,VectorGradient_0,VectorGradient_1,VectorGradient_2,VectorGradient_3,VectorGradient_4,VectorGradient_5,VectorGradient_6,VectorGradient_7,VectorGradient_8
-96.3741,0,0.200051,1.63944,0,0.0195807,-0.11947,0,6.11695,-0,0,-0,0.0015807,0,0.0286504
-89.3784,0,0.200051,1.48938,0,0.00173776,-0.00749485,0,6.80057,0,0,0,-0.00136591,0,0.0342928
-82.877,0,0.200051,1.46899,0,-0.00146507,-0.00373666,0,6.61583,0,0,0,-0.000323399,0,0.00622219
-76.8351,0,0.200051,1.46373,0,-0.000178756,-0.00266723,0,6.51853,0,0,0,7.60101e-05,0,0.00226545
-71.22,0,0.200051,1.44838,0,0.000241058,-0.00315999,0,6.43701,0,0,0,5.15483e-05,0,0.00406819
-66.0017,0,0.200051,1.427,0,0.000172569,-0.00386003,0,6.34578,0,0,0,2.87984e-05,0,0.00512697
-61.1522,0,0.200051,1.40478,0,0.000207521,-0.00449813,0,6.24476,0,0,0,4.49337e-05,0,0.0060135
-56.6453,0,0.200051,1.38037,0,0.000300554,-0.00531689,0,6.13454,0,0,0,6.16684e-05,0,0.0072074
-52.4568,0,0.200051,1.35294,0,0.000394038,-0.00631934,0,6.01311,0,0,0,7.7484e-05,0,0.00865805
-48.5644,0,0.200051,1.32243,0,0.000505087,-0.00748918,0,5.87919,0,0,0,9.78812e-05,0,0.0103569
-44.9469,0,0.200051,1.28862,0,0.000645059,-0.00884841,0,5.73192,0,0,0,0.000123182,0,0.0123472
-41.5851,0,0.200051,1.25128,0,0.000817875,-0.0104135,0,5.57056,0,0,0,0.000153412,0,0.0146619
-38.4609,0,0.200051,1.21026,0,0.00102976,-0.0121975,0,5.39451,0,0,0,0.000189222,0,0.0173272
-35.5573,0,0.200051,1.16541,0,0.00128831,-0.014209,0,5.20341,0,0,0,0.000231019,0,0.0203658
-32.859,0,0.200051,1.11669,0,0.00160115,-0.0164506,0,4.99719,0,0,0,0.000278779,0,0.0237921
-30.3513,0,0.200051,1.06412,0,0.00197576,-0.0189163,0,4.77609,0,0,0,0.000332008,0,0.0276081
-28.0208,0,0.200051,1.00782,0,0.00241898,-0.0215879,0,4.54073,0,0,0,0.000389603,0,0.031799
-25.855,0,0.200051,0.948017,0,0.00293616,-0.0244371,0,4.29216,0,0,0,0.000449723,0,0.0363305
-23.8422,0,0.200051,0.885057,0,0.00353033,-0.0274196,0,4.03183,0,0,0,0.000509691,0,0.041146
-21.9717,0,0.200051,0.819411,0,0.00420124,-0.0304774,0,3.76167,0,0,0,0.000566077,0,0.0461657
-20.2333,0,0.200051,0.751663,0,0.00494461,-0.0335413,0,3.48401,0,0,0,0.000614879,0,0.0512891
-18.6177,0,0.200051,0.682494,0,0.00575162,-0.0365337,0,3.2015,0,0,0,0.000651854,0,0.0563985
-17.1164,0,0.200051,0.612652,0,0.00660885,-0.0393734,0,2.91705,0,0,0,0.000672922,0,0.0613668
